nsamples	PRI.E.t	PRI.Psi	PRI.cv	PRI.div.model	PRI.model	PRI.omega	PRI.t.1	PRI.t.2	PRI.t.3	prob_psi_1	prob_psi_2	prob_psi_3
200000	0.0198319178529	1.329	0.0732488621328	1.58	2.0	0.000588221149998	0.0197981242738	0.0208156978499	0.0188819314349	0.746	0.179	0.075
400000	0.0197381069618	1.341	0.0729914489989	1.615	2.0	0.000569663565043	0.0196926366903	0.0207635120118	0.0187581721834	0.736	0.187	0.077
600000	0.0197825825841	1.319	0.0686991658235	1.533	2.0	0.000542515544976	0.0197423477411	0.0208135605026	0.0187918395085	0.759	0.163	0.078
800000	0.0196804690024	1.31	0.0654322674324	1.528	2.0	0.000487535653177	0.0196567648727	0.0206840020533	0.0187006400812	0.76	0.17	0.07
1000000	0.0194890896782	1.302	0.0651795282301	1.543	2.0	0.000476416179992	0.0194361926152	0.0204697949369	0.0185612814824	0.762	0.174	0.064
1200000	0.0193736863663	1.308	0.0629679195231	1.551	2.0	0.000437206210572	0.0193410935554	0.0203163513545	0.0184636141889	0.756	0.18	0.064
1400000	0.0193697030547	1.311	0.0637489043722	1.569	2.0	0.000447649138183	0.0193214267969	0.0203381442833	0.0184495380839	0.751	0.187	0.062
1600000	0.0192505086473	1.315	0.0632099880671	1.582	2.0	0.000429324361628	0.0191812857225	0.0202023878262	0.0183678523931	0.748	0.189	0.063
1800000	0.0192899685831	1.309	0.0628284584465	1.554	2.0	0.000433489985304	0.0192249476915	0.0202583386605	0.0183866193973	0.753	0.185	0.062
2000000	0.0192502071298	1.294	0.0604955483579	1.53	2.0	0.000406775583695	0.0192367472727	0.0201419047746	0.0183719693421	0.76	0.186	0.054
2200000	0.0191958176496	1.302	0.0627200281902	1.533	2.0	0.000419261417149	0.0191635078402	0.0201352478745	0.0182886972341	0.752	0.194	0.054
2400000	0.0191007896899	1.301	0.0624540229853	1.55	2.0	0.00040979126149	0.0190860767348	0.0200027976386	0.0182134946962	0.751	0.197	0.052
2600000	0.0191225945832	1.297	0.0634056960123	1.542	2.0	0.000420562219071	0.0191011107606	0.020057739636	0.018208933353	0.751	0.201	0.048
2800000	0.0191381299567	1.299	0.0631913595279	1.539	2.0	0.000422465158503	0.0191098794347	0.0200692639824	0.0182352464529	0.75	0.201	0.049
3000000	0.0191501285106	1.305	0.0652675697485	1.546	2.0	0.000430291534247	0.0191214259375	0.0201164082795	0.0182125513149	0.742	0.211	0.047
3200000	0.0191180468184	1.311	0.0669945272905	1.565	2.0	0.000442406918874	0.0190823352457	0.0201120513093	0.0181597539003	0.737	0.215	0.048
3400000	0.0191478381038	1.314	0.0677139107222	1.566	2.0	0.000449996853947	0.0191319642232	0.0201501477874	0.0181614023007	0.735	0.216	0.049
3600000	0.0191692575456	1.311	0.0678101935677	1.557	2.0	0.000450472792772	0.019166764286	0.0201711038629	0.0181699044879	0.737	0.215	0.048
3800000	0.0190896363124	1.313	0.0682252065864	1.556	2.0	0.000453199768956	0.0190664463448	0.0201157838745	0.0180866787178	0.737	0.213	0.05
4000000	0.0191152512854	1.325	0.0709008631879	1.57	2.0	0.000467443737213	0.019097992898	0.020181865169	0.0180658957891	0.728	0.219	0.053
4200000	0.0190809207563	1.324	0.0690184534734	1.576	2.0	0.000446630916452	0.0190554297821	0.0201111425805	0.0180761899063	0.729	0.218	0.053
4400000	0.0191078828046	1.327	0.0686366745393	1.583	2.0	0.000439069986145	0.0190609719501	0.0201450614543	0.0181176150095	0.727	0.219	0.054
4600000	0.0191109033306	1.336	0.0701346147147	1.603	2.0	0.00044469873173	0.0190744662648	0.0201584959865	0.0180997477404	0.723	0.218	0.059
4800000	0.0190719952169	1.341	0.070165401608	1.609	2.0	0.000441316196214	0.0190610315264	0.0201103804076	0.0180445737168	0.721	0.217	0.062
5000000	0.0189951399638	1.331	0.0685351356254	1.596	2.0	0.000431255854048	0.0189718472294	0.0200065213463	0.0180070513157	0.727	0.215	0.058
5200000	0.0189947254721	1.328	0.0678550356299	1.591	2.0	0.000425568656162	0.018982110764	0.0199951285899	0.0180069370624	0.729	0.214	0.057
5400000	0.0190002062636	1.324	0.0668895579065	1.586	2.0	0.000419480147702	0.0189840659681	0.0199926121461	0.0180239406766	0.73	0.216	0.054
5600000	0.0189860707451	1.32	0.0663489123432	1.575	2.0	0.000415583469541	0.0189721839044	0.019973650854	0.018012377477	0.733	0.214	0.053
5800000	0.0190019146131	1.314	0.0643088260465	1.562	2.0	0.000401346251804	0.0189659557601	0.0199654398718	0.0180743482073	0.737	0.212	0.051
6000000	0.0189927845387	1.315	0.0643156486639	1.567	2.0	0.000400123947762	0.0189660787874	0.0199521850152	0.0180600898135	0.737	0.211	0.052
6200000	0.0190234166498	1.316	0.0640931766367	1.561	2.0	0.000398069963541	0.0189992593988	0.0199812336508	0.0180897568997	0.738	0.208	0.054
6400000	0.018973997207	1.312	0.0630806019705	1.552	2.0	0.000392767375842	0.018957478828	0.0199106168133	0.0180538959796	0.743	0.202	0.055
6600000	0.0189920743731	1.305	0.0631475910608	1.538	2.0	0.00040089916119	0.0189703095816	0.0199405821708	0.018065331367	0.748	0.199	0.053
6800000	0.0189884196081	1.303	0.0623479997872	1.536	2.0	0.000389914837403	0.0189632936175	0.019922281856	0.0180796833509	0.749	0.199	0.052
7000000	0.0190523458121	1.304	0.0621749553082	1.541	2.0	0.000390355616451	0.0190216446507	0.0199872152414	0.0181481775442	0.751	0.194	0.055
7200000	0.019031739475	1.304	0.0625571623392	1.544	2.0	0.00039289665822	0.0189814517327	0.0199743593969	0.0181394072955	0.75	0.196	0.054
7400000	0.0190341748753	1.302	0.0619237870867	1.542	2.0	0.000386673658788	0.0189915204074	0.0199643141945	0.0181466900241	0.751	0.196	0.053
7600000	0.0190197014834	1.297	0.0607938794352	1.539	2.0	0.000376862422952	0.0189755301313	0.0199255574811	0.0181580168377	0.754	0.195	0.051
7800000	0.0189853054975	1.299	0.0616010017745	1.546	2.0	0.000384797833903	0.0189570689484	0.0198977133037	0.0181011342403	0.752	0.197	0.051
8000000	0.0189954442979	1.291	0.0592164572786	1.531	2.0	0.000365640213367	0.0189707501293	0.0198750689224	0.0181405138421	0.758	0.193	0.049
8200000	0.018971396831	1.29	0.0590593093266	1.527	2.0	0.000364024941065	0.0189520704834	0.0198484824761	0.0181136375335	0.758	0.194	0.048
8400000	0.0189730713316	1.288	0.0589783151387	1.521	2.0	0.000364808080328	0.0189533731569	0.019851917004	0.0181139238337	0.76	0.192	0.048
8600000	0.0189458795074	1.281	0.0556515231229	1.512	2.0	0.000335351926383	0.0189120625786	0.0197749534777	0.018150622466	0.768	0.183	0.049
8800000	0.0189169807889	1.279	0.0548640834858	1.509	2.0	0.000328171450129	0.0188613120016	0.0197345551033	0.0181550752617	0.77	0.181	0.049
9000000	0.0188991558199	1.279	0.0552838037422	1.509	2.0	0.000330437878388	0.0188436070511	0.0197221373167	0.018131723092	0.77	0.181	0.049
9200000	0.0189041216556	1.282	0.0557756851467	1.514	2.0	0.0003353194693	0.018845002877	0.0197377552494	0.0181296068406	0.768	0.182	0.05
9400000	0.0188769232051	1.279	0.0557956585107	1.508	2.0	0.00033592675046	0.0188146200938	0.0197069848703	0.0181091646513	0.77	0.181	0.049
9600000	0.0188703187328	1.279	0.05542506531	1.508	2.0	0.000330456573854	0.0188041603408	0.0196950625419	0.0181117333156	0.77	0.181	0.049
9800000	0.0188537941746	1.28	0.0556550421647	1.509	2.0	0.000329991057912	0.0187802126671	0.0196754700898	0.018105699767	0.769	0.182	0.049
10000000	0.0188160651994	1.28	0.0553683539022	1.504	2.0	0.000325813730278	0.0187489419355	0.0196324540162	0.0180667996464	0.768	0.184	0.048
